firstname	1_year	1_count	2_year	2_count
airy	1965	59		
aisam		31		
aisata				36
aisatou				47
aise				33
aisetou				34
aisha			2015	437
aishwarya				55
aisling				38
aislinn				56
aiss				20
aissa	2015	2699	2015	376
aissam	2010	408		
aissame		36		
aissata			2015	1763
aissatou			2015	1556
aisse			2014	418
aisseta			2009	136
aissetou			2015	346
aissia				102
aissya				24
aita				45
aitana				117
aitor	2015	165		
aivy				23
aixandre		27		
aiya			2012	197
aiyana			2014	273
aiyanna				28
aiyoub		25		
aiza			2015	50
ajan		60		
ajanthan		27		
ajar				58
ajay	2015	117		
ajdin	2006	34		
ajla			2010	59
ajmal		20		
ajna				26
aka	2006	25		
akan		28		
akane				24
akash	2014	119		
akasya				27
akay		21		
akbar		25		
akcel		21		
akeem	2015	24		
akela				32
akemi				36
akheane				31
akhesa				24
akhil		20		
akhim		26		
akhmed		29		
akif	2015	207		
akiko				31
akil	2013	180		
akila			1988	612
akilan		25		
akim	2014	3655		
akima			1982	467
akime		44		
akin		273		
akina				34
akio		30		
akira	2010	102		26
akissi				64
akiva		43		
akli	2004	665		
akmal		22		
ako				32
akram	2015	1561		
akrame	2005	80		
akrem		39		
aksel	2015	1450		22
akshara			2015	39
akshay	1994	42		
akshaya			2015	113
akshayan	2013	39		
aksil	2015	341		
akym		25		
al	2015	309		41
al	2015	113		
al-hassan		34		
ala			2015	132
ala		90		88
ala-eddine		63		
alaa		146	2015	367
alaa-eddine		43		
alabama				41
aladdin		34		
aladin	2001	208		
aladine		39		
aladji	2010	76		
alae		54	2015	181
alaeddine	1991	175		
alaedine		38		
alaia			2015	206
alain	2015	506750	1957	34
alain-claude		34		
alain-franois		21		
alain-jean		25		
alain-michel		45		
alain-paul		24		
alain-philippe		21		
alain-pierre		88		
alaina				81
alaine				28
alais			2013	753
alan	2015	19580		
alana			2015	1623
alanah				40
alandra				22
alane	2013	290		
alanis			2007	235
alann	2012	659		
alanna				119
alannah			2007	93
alanzo	2011	61		
alaoua	1970	30		
alaoui		29		
alara				39
alaric	2015	607		
alarick		22		
alas			2015	231
alasane		26		
alassan		73		
alassana		22		
alassane	2015	980		
alastair	1971	32		
alaya		24		63
alayna				84
alba			2015	1312
albain		189		
alban	2015	25118	1955	88
albane			2015	8798
albanie			1927	1044
albanne				174
albano	1986	221		
albans		25		
albaro		22		
alberic	2009	1757		
alberick		22		
alberie		27		21
albert	2015	203980	1959	101
alberta			1953	464
alberte			1988	9157
alberthe				79
alberti		20		
albertin		29		
albertina			1962	238
albertine			2015	28118
albertino		68		
alberto	2014	2076		
albertus		33		
albi		22		
albin	2015	4808		
albina			1932	422
albine			1986	1366
albino	1972	347		
albion		36		
albrecht	1904	44		
albric	2015	188		
alce		52		
alcee	1930	71		
alcibiade		26		
alcida			1931	161
alcide	2002	3603		26
alcides		42		
alcidie			1923	182
alcime	1948	381		
alcina				100
alcinda				22
alcine				29
alcino	1967	101		
alcyone				29
alda			1974	521
alde	1935	51		
aldebert		28		
aldegonde			1914	109
alden		21		
alderic	1971	211		
alderick	2001	33		
aldin	2009	73		
aldina			1974	172
aldine				71
aldino		25		
aldja				45
aldjia			1974	226
aldo	1999	3512		
aldonce		22		
aldric		30		
aldric	2009	1052		
aldrick	2003	158		
aldrik		39		
aldrin		22		
aldwin	2000	153		
alea				76
aleandro		65		
alec	2015	1194		
alecia				82
alecio		23		
aleck		70		
aleen				24
aleena			2013	51
aleeza				22
alegria				41
aleina				32
alejandra				73
alejandro	2015	500		
alek	2010	187		
aleks	2009	71		
aleksa	2014	79		
aleksandar	2014	620		
aleksander	2015	149		
aleksandr	2012	64		
aleksandra			2014	485
aleksandre		103		
aleksei		40		
aleksi		96		
aleksia				30
aleksy		59		
alem		50		27
alen	2014	232		
alena			2015	437
alenka				27
alenzo	2015	173		
aleria				20
ales	2013	124		
alesandro		33		
alesia			2015	237
alesio		26		
alessa			2015	100
alessandra			2015	733
alessandro	2015	3052		
alessia			2015	1863
alessio	2015	2938		
alessya				48
aleth			1972	803
alette				28
alev			1990	189
alex	2015	29140	2015	430
alex-anne				20
alexa			2015	2007
alexan		143		
alexandar	1977	48		
alexander	2015	2133		
alexandr		34		
alexandra		27	2015	92176
alexandre	2015	295553	1959	229
alexandre-benot		26		
alexandria				32
alexandrie			1979	200
alexandrina			1976	226
alexandrine			2010	14018
alexandro	2015	541		
alexandros		78		
alexandru	2015	303		
alexandry				23
alexane			2015	3450
alexanne			2013	273
alexe	2015	31		
alexe			2004	187
alexei	2004	188		
alexendre		20		
alexey		45		
alexi	2015	1722		
alexia			2015	36193
alexian	2014	625		
alexiana				20
alexiane			2013	2230
alexianne				147
alexias				51
alexide				35
alexie			2015	1118
alexin	1964	107		
alexina			2012	1200
alexine			2012	1660
alexio	2014	90		
alexis	2015	144489	1990	347
alexy	2015	4235	2014	62
alexya				249
alexyane				39
alexyne				20
alexys	2011	333		
aleyna			2015	1993
alezia				42
alezio		31		
alfa		45		
alfayed		30		
alfeo		32		
alfie		43		
alfio	1932	117		
alfons	1941	21		
alfonse		22		
alfonso	1985	602		
alfousseny		23		
alfrda			1927	43
alfred	2015	65710	1944	27
alfreda			1964	5381
alfrede		31	1902	180
alfredine			1937	993
alfredo	2004	1123		
algia				60
alhadji		25		
alhan	1995	155		
alhassan		52		
alhassana	2000	52		
alhassane	2015	157		
alhena				38
alhousseyni		26		
alhya				65
ali	2015	23731		24
ali-can		21		
ali-eren		33		
ali-osman		45		
ali-riza		21		
alia			2015	194
alia			2015	2392
aliah			2015	133
aliana			2015	131
alias	2004	40		
aliaume	1996	68		
alibert	1952	100		
alic	1972	37		
alica				34
alican	2008	115		
alice	1940	37	2015	182350
alice-anne				47
alice-marie				28
alicea				23
alicia			2015	45325
aliciane				80
alicio		20		
alicja			2008	72
alick	2008	145		
alicya			2015	493
alida			2012	2209
alidor	1924	94		
alie				29
alienor			2015	2688
aliette			2015	3812
alif		21		
alig		20		20
alihan	2005	110		
alihya				21
alik	1994	65		
alika				40
alim	2015	285		
alima			2015	705
alimamy		21		
alimata			2015	85
alimatou			2014	112
alime				50
alin	2012	448		20
alina			2015	1772
alinda				26
aline			2015	89527
aline-marie				29
alinor			2015	815
aliocha	2015	195		
aliona				187
aliosha		36		
aliou	2014	584		
alioune	2015	408		
alioune-badara		21		
alipio		41		
aliriza		29		
alis				76
alis				88
alisa				40
alisa			2015	298
alisan		33		
alise			1997	66
alise			1988	320
alisea			2000	205
alisee			2009	318
alisha			2015	297
alishba				20
alisia				99
alison	1995	35	2015	15705
alisone			2012	235
alisonne				39
alissa			2015	1752
alissandre				78
alissar				28
alisse				26
alissia			2014	966
alisson			2011	4311
alissone				199
alissonne				22
alissya			2009	118
alistair	2015	531		
alister		194		
alisya				36
alita				22
alix	2015	7626	2015	20641
alix-anne				55
alix-marie				26
alixan		43		
alixane				60
alixe			2015	1044
alixia			2008	474
aliya			2015	3359
aliyah			2015	2236
aliye				57
aliyyah				23
aliz			2014	383
aliza			2014	110
aliza			2015	197
alize			2012	1588
alize			2015	12110
alizea			2010	544
alizee			2015	337
alizia				103
alizon				27
aljia				35
alkaly		37		
alkan		51		
alla		26		67
allain	1964	2983		
allal		166		
allan	2015	17172		
allana			2009	72
allande	2015	99		
allane	1990	77		
allann		43		
allaoua		108		
allaoui		25		
allassane	2013	39		
alle				34
allegra			2011	151
allegria				23
allel		74		
allen	1961	229		
alli		36		
allia			2009	212
alliah			2003	47
alliance				29
alliaume		33		
allicia				50
allie				41
alliette			1903	224
alline				24
allison			2007	5450
allisone				27
allissa				23
allissia			1985	106
allisson			1997	494
allistair		37		
allister		44		
allix				26
alliya			2015	107
alliyah			2015	133
allon		24		
allonzo		25		
ally		33	2014	109
allya			2015	424
allyah			2015	234
allycia				152
allyha				21
allyre	1901	53		
allyriane				39
allyson			2012	714
allyssa				119
allyssia			2002	110
allysson				78
alma			2015	2176
almahdi		29		
almaide				55
almamy	2014	167		
almany		20		
almanzo		47		
almas		21		51
almaz				24
almedin		27		
almedina				30
almerinda				39
almin		26		
almina			2014	129
almir		139		
almira				84
almire	1937	296		27
almonzo		22		
almudena				41
almyre		55		
alna			2015	127
alna				23
alodie			1948	133
aloe				32
aloha				52
alois	2015	4070		273
aloise	1959	1779	2012	390
aloisia				22
alon	2015	215		
alona			2008	82
alone	2014	187		
alonso	2015	304		
alonzo	2015	636		
alos	2015	1231		50
alose			2014	144
alou	2015	72		
aloys	2015	1062		
aloyse	2012	2569	2005	145
aloysia				104
alp		80		
alparslan	2009	92		
alpaslan		99		
alpay		91		
alper	2013	391		
alperen	2015	459		
alpha	2015	591		
alpha-oumar		36		
alphee	1922	136		29
alphena			1900	27
alphonsa				24
alphonse	2015	43076	1959	108
alphonsia			1954	115
alphonsina				22
alphonsine			1968	13361
alphonso	1967	188		
alric	1998	336		
alrick	2007	287		
alrik		82		
alsace			1940	122
alseny		44		
alsia				49
alssia				21
alssio		26		
altair		22		
altan	2015	133		
altar		22		
altay		45		
altea				53
altha			2012	53
althea			2004	278
altin	2009	44		
altina				31
altino		28		
alva				50
alvana				45
alvaro	2014	561		
alveen		20		
alvin	2015	1669		
alvina			2006	687
alvine	2003	117	1943	207
alvinn		21		
alvino		27		
alvira				31
alvy		25		
alvyn	2014	291		
alvyne		22		
alwen				44
alwena			2015	967
alwenn			2004	35
alwenna			2015	190
alwin	1991	275		
alwine			1941	108
alwna				24
alwyn	1987	44		
alxia				53
alxis	1996	58		
aly	2015	625		24
alya				51
alya			2015	3522
alyaa				29
alyaah				20
alyah			2015	743
alyan		43		
alyana			2015	151
alyanna				34
alyce			2015	91
alycia			2015	4860
alyette			1958	325
alyha				56
alyia				65
alyiah				20
alyma				23
alyna			2013	142
alyne			2015	144
alynn				24
alyona				65
alyosha		28		
alyre	1928	90		
alys			2014	270
alys			2015	407
alysa				27
alyse				75
alyse				50
alysea				67
alysee			2001	363
alysha			2015	96
alysia				69
alyson			2015	2715
alysone			1995	95
alyssa			2015	9125
alyssandre				34
alysse				150
alyssia			2015	3534
alysson			2015	1251
alyssone				60
alyx		46		59
alyxia				37
alyza			2014	23
alyze			2014	130
alyze				49
alyzea				80
alyzee			2010	445
alzina			1902	62
alzira			1972	111
alzire		34	1907	83
ama				56
amaa			2015	144
amabile				66
amable	1952	346		34
amad		37		
amadea				24
amadeo	2014	259		
amadeu		52		
amadeus		55		
amadi	2010	63		
amadis		38		
amado		43		
amador		158		
amadou	2015	2389		
amadou-tidiane		28		
amady		64		
amael	2014	1059		45
amaelle			2009	386
amaelys				21
amaia			2015	952
amaiur	2013	39		
amal	2015	384		
amal	2009	112	2015	3264
amale			2002	635
amalia			2015	2414
amalie			1916	187
amalio		31		
amaliya				30
amalle				77
amalle				97
amalric		119		
amalya			2015	358
amalyah				20
aman	2011	177		38
aman		33		
amana			2013	128
amance		31	2010	190
amancio		29		
amand	1963	3571		
amanda			2015	6292
amande			1912	289
amandin		40		
amandina				29
amandine			2015	94937
amandio	1972	123		
amando		23		
amandyne				119
amane		36		
amane	2012	83	2011	155
amani		85	2015	868
amanie			2011	82
amans	1934	170		
amant		47		
amante			1932	117
amanthe			1962	89
amantine			1928	37
amany			2007	129
amapola				60
amar	2015	6147		
amara	2015	684	2012	416
amarande				127
amarante				49
amaranthe				29
amari		22		
amaria			2015	442
amarilys				28
amarine			1995	107
amaro		46		
amaru		39		
amary		25		
amaryllis			1991	261
amatallah				22
amateur	1905	26		
amath		50		
amatoullah				66
amatullah				34
amauri		38		
amaurie				23
amaurine				21
amaury	2015	17080		
amauryne				35
amaya			2015	1082
amayas	2015	166		
amayel				28
amayelle				31
amayes		70		
amazigh		67		
amazir		55		
amazone				27
ambeline				30
amber			2015	258
ambra				79
ambre		32	2015	37696
ambre-marie				21
ambreen				29
ambrine			2015	2242
ambroise	2015	6744	1954	186
ambroisine			1960	1819
ambrosia				37
ambrosio		27		
ambryne				45
amde	1953	145		
amdjad		43		
amdy		32		
ame		78		
amed	1947	327		
amede	1960	1353		
amedea				71
amedee	2007	7730	1968	626
amedeo	2006	173		
amedi		38		
amedine			1906	157
amedy		58		
ameer		20		
amel	1972	125	2015	10920
amela				122
amele			2002	452
ameli				20
amelia			2015	736
ameliane				52
amelie			2015	584
amelien	2007	268		
amelin		24		
amelina			2003	551
ameline			2009	2209
amelio	1922	64		
amelius	1942	110		
amell				23
amelle			2011	1465
amellia				29
amely			2004	350
amelya			2015	360
amelyne			2002	164
amelys				170
amen		53		
amen		59		31
amen-allah	2014	30		
amena			1969	80
amenallah		26		
amenata				22
amendine				25
